Country Name,Country Code,2020 [YR2020] - GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],2020 [YR2020] - GDP (current US$) [NY.GDP.MKTP.CD],2020 [YR2020] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2020 [YR2020] - GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"2020 [YR2020] - Population, total [SP.POP.TOTL]",2020 [YR2020] - Population growth (annual %) [SP.POP.GROW]
Cambodia,KHM,-3.14103480632566,25291251427.3979,1512.72775264685,-4.48757894597401,16718971,1.39996509699246
Cameroon,CMR,0.730339198197697,39802147568.2174,1499.37284272297,-1.81004318662097,26545864,2.55430999948549
Canada,CAN,-5.31294474285987,1644037286481.26,43258.176319834,-6.33904652535297,38005238,1.08959148655862
Cayman Islands,CYM,..,..,..,..,65720,1.18163434441994
Central African Republic,CAF,0,2303078337.57431,476.851112719857,-1.75132780814963,4829764,1.76684499168083
Chad,TCD,-0.890209999072951,10093118570.2918,614.465189935689,-3.78024514945832,16425859,2.95935371013085
Channel Islands,CHI,..,..,..,..,173859,0.921644207578488
Chile,CHL,-5.77150166876176,252940023046.011,13231.7042069383,-6.58075571515938,19116209,0.862530028020963
China,CHN,2.29999999995441,14722730697890.1,10500.3956159637,1.97918889499289,1402112000,0.31409109311522
Colombia,COL,-6.8473142056573,271346896626.418,5332.77352412685,-7.84220649047282,50882884,1.07376749290975
Comoros,COM,4.91077747534176,1219690024.50287,1402.59548928279,2.65426590167957,869595,2.17435502569656
"Congo, Dem. Rep.",COD,0.773457031516656,49868970641.1062,556.813185299175,-2.34425562278005,89561404,3.14265160815163
"Congo, Rep.",COG,-7.94871290192242,10884686142.6442,1972.54524619093,-10.2439179273642,5518092,2.52500982802432
Costa Rica,CRI,-4.53996591674169,61520669890.4037,12076.8145138494,-5.41233566870993,5094114,0.91805992540637
Cote d'Ivoire,CIV,1.81644146095073,61348579465.1017,2325.72370502247,-0.737708780487807,26378275,2.54058456481746
Croatia,HRV,-8.36737821725714,55966581780.1688,13828.4695048846,-7.95864039331863,4047200,-0.445069568982822
Cuba,CUB,..,..,..,..,11326616,-0.0606175631202249
Curacao,CUW,..,..,..,..,155014,-1.55353494887349
Cyprus,CYP,-5.10347951905253,23804340376.9275,26623.8008913181,-6.39282403398673,1207361,0.7304469214141
Czech Republic,CZE,-5.79357128432328,245349489988.26,22932.2249686565,-6.03154190694359,10698896,0.252925088481678
Denmark,DNK,-2.06212495876164,356084867685.639,61063.3164304238,-2.34733603210697,5831404,0.291641177476633
Djibouti,DJI,0.499999999999986,3384404260.07202,3425.50345047077,-0.969351782688705,988002,1.4728347321268
Dominica,DMA,-16.7091602926228,469870370.37037,6526.79321540707,-16.9208843090478,71991,0.254522074272768
Dominican Republic,DOM,-6.72023937283404,78844702329.0785,7268.1969096591,-7.65706090822447,10847904,1.00939108305127
Ecuador,ECU,-7.75012337710913,98808010000,5600.38961495341,-9.15874486974343,17643060,1.53874114229084
